add1,add2,PCE,FF,Voc,Jsc,idealVoc,pk,r,cat
山梨酸钾,(4-溴苯基)-2-硫代脲,23.13,84.66,1.24,22.03,—,(4-溴苯基)-2-硫代脲||山梨酸钾,0,A6
山梨酸钾,"2,4-二氨基-6-氯嘧啶",21.41,82.94,1.25,20.67,—,"2,4-二氨基-6-氯嘧啶||山梨酸钾",1,A6
(4-溴苯基)-2-硫代脲,醋酸甲脒,20.64,81.07,1.25,20.42,—,(4-溴苯基)-2-硫代脲||醋酸甲脒,2,A6
(4-溴苯基)-2-硫代脲,苯基三甲基溴化铵,20.99,83.49,1.25,20.16,—,(4-溴苯基)-2-硫代脲||苯基三甲基溴化铵,3,A6
(4-溴苯基)-2-硫代脲,甘氨鹅脱氧胆酸钠,19.2,75.36,1.23,20.7,—,(4-溴苯基)-2-硫代脲||甘氨鹅脱氧胆酸钠,4,A6
(4-溴苯基)-2-硫代脲,2-(4-氟苯基)乙胺盐酸盐,21.25,83.37,1.24,20.49,—,2-(4-氟苯基)乙胺盐酸盐||(4-溴苯基)-2-硫代脲,5,A6
