add1,add2,add3,PCE,FF,Voc,Jsc,idealVoc,pk,r,cat
4-ATpHCl,—,MACl,21.71,83.84,1.2677,20.42,1.3721,4-ATpHCl||—,8,M8
PAA,—,MACl,20.4,81.12,1.2431,20.23,1.3704,PAA||—,9,M8
2-chloronicotinamide,—,MACl,21.78,85.12,1.2559,20.38,1.3737,2-chloronicotinamide||—,10,M8
DMFP,—,MACl,21.94,83.61,1.2486,21.01,1.3489,DMFP||—,11,M8
PDMA,—,MACl,22.44,85.88,1.2587,20.76,1.3613,PDMA||—,12,M8
Piperazinium chloride,—,MACl,19.73,80.04,1.1617,21.21,1.3382,Piperazinium chloride||—,13,M8
11MA,—,MACl,22.31,83.81,1.2524,21.26,1.3367,11MA||—,14,M8
—,—,Control,19.7,79.7,1.207,20.48,—,—||—,15,M8
