scaffold,count
C1CCOCC1.c1ccsc1,1
C1CCOCC1.c1ccccc1,1
C1C2C3N2C2C1N32,1
C1C2C3CN2C13,1
C1C2C3C4C2N1C34,1
C1C2C3C1C1C2C31,1
C1=NOC=NO1,1
C1=NNC1,1
C1=NN=N1,1
C1=NC=N1,1
C1=NC2=CC2O1,1
C1=NC2=CC(C2)O1,1
C1=Cn2ccnc2C1,1
C1=Cn2cccc2C1,1
C1COC1.c1ccc2ccccc2c1,1
C1COC1.C1COC1,1
C1CNCCN1,1
C1CNC1.c1cscn1,1
C1CNC1.c1ccsc1,1
C1CNC1.c1ccncc1,1
C1CNC1.C1COC1,1
C1CN2C3CC2C13,1
C1CC[NH2+]CC1,1
C1CCOCC1.c1cscn1,1
C1CCOCC1.c1cnccn1,1
N=C1C=CCC=C1,1
C1OCC2CC1C2,1
C1OC2CC1O2,1
C1OC2C3CC2C13,1
C1OC2C3CC132,1
C1OC2C1C1OCC21,1
C1NC2CC12,1
C1NC12CO2,1
C1C[NH2+]CC[NH2+]1,1
C1C[C@@H]2OC[C@H]1O[C@@H]1CC[C@@H](CO1)O[C@@H]1CC[C@@H](CO1)O[C@@H]1CC[C@@H](CO1)O[C@@H]1CC[C@@H](CO1)O[C@@H]1CC[C@@H](CO1)O[C@@H]1CC[C@@H](CO1)O2,1
C1COC2(C1)CO2,1
C1COC1.c1cscn1,1
N=C1OC=CC2CC12,1
N=C1OC2CCC12,1
N=C1OC2C=CCCN12,1
N=C1NCC(=O)C(=N)N1,1
N=C1NC=C2CCC12,1
N=C1N=NC2CCC12,1
N=C1N=CC2OC2N1,1
N=C1COCC2CC12,1
N=C1COCC(=O)C1=O,1
N=C1CCOC1,1
N=C1CCC=CN1,1
N=C1CC=CC(=O)N1,1
N=C1CC2CCCC2O1,1
N=C1CC(=O)OC12CO2,1
N=C1C=CCC=N1,1
N=c1nccco1,1
N=c1nc[nH]c(=N)o1,1
N=c1cconc1,1
N=c1cccco1,1
N=c1cccc[nH]1,1
N=c1cc[nH]nn1,1
N=c1[nH]cco1,1
N=c1[nH]ccc(=O)o1,1
N=C1OCCC2OC12,1
N=C1OCCC2CC12,1
N=C1OCCC(=O)CO1,1
N=C1OCC2CNC12,1
N=C1OCC2CC12,1
