pk,PCE
2-(4-氟苯基)乙胺盐酸盐||甲胺盐酸盐,22.4468
2-(4-氟苯基)乙胺盐酸盐||甲酰胺,22.0642
2-(4-氟苯基)乙胺盐酸盐||硫氰酸铅,21.9022
2-(4-氟苯基)乙胺盐酸盐||苯基三甲基溴化铵,22.8327
2-(4-氟苯基)乙胺盐酸盐||褪黑素,21.2216
2-(4-氟苯基)乙胺盐酸盐||醋酸甲脒,22.2242
2-(4-氟苯基)乙胺盐酸盐||香豆素,21.5409
2-乙酰基吡嗪||N-碘代丁二酰亚胺,21.6068
2-乙酰基吡嗪||甘氨鹅脱氧胆酸钠,21.7039
2-乙酰基吡嗪||苯基三甲基溴化铵,21.4807
2-噻吩甲胺氢碘酸盐||二甲氨基硫代乙酰胺盐酸盐,21.0489
2-噻吩甲胺氢碘酸盐||对甲苯磺酸水合物,22.7904
2-噻吩甲胺氢碘酸盐||甘氨鹅脱氧胆酸钠,21.7588
2-噻吩甲胺氢碘酸盐||苯基三甲基溴化铵,22.3227
2-氨基乙磺酸||二甲氨基硫代乙酰胺盐酸盐,21.7728
2-氨基乙磺酸||甘氨鹅脱氧胆酸钠,22.3532
2-氨基乙磺酸||苯基三甲基溴化铵,22.4068
3-巯基苯甲酸||二甲氨基硫代乙酰胺盐酸盐,21.1937
3-巯基苯甲酸||苯基三甲基溴化铵,22.3932
3-氨基-1-丙烷磺酸||二甲氨基硫代乙酰胺盐酸盐,22.4162
3-氨基-1-丙烷磺酸||苯基三甲基溴化铵,21.4535
4-氨基四氢噻喃盐酸盐||二甲氨基硫代乙酰胺盐酸盐,21.8818
4-氨基四氢噻喃盐酸盐||甘氨鹅脱氧胆酸钠,21.728
4-氨基四氢噻喃盐酸盐||苯基三甲基溴化铵,23.0235
4-氯吡啶-2-甲酰胺||二甲氨基硫代乙酰胺盐酸盐,21.8725
4-氯吡啶-2-甲酰胺||甘氨鹅脱氧胆酸钠,22.2049
4-氯吡啶-2-甲酰胺||苯基三甲基溴化铵,21.4299
4-苯基-3-硫代氨基脲||Control,21.2218
4-苯基-3-硫代氨基脲||二甲氨基硫代乙酰胺盐酸盐,22.0805
4-苯基-3-硫代氨基脲||六氟磷酸钾,20.9433
4-苯基-3-硫代氨基脲||对甲苯磺酸水合物,21.8178
4-苯基-3-硫代氨基脲||甘氨鹅脱氧胆酸钠,21.6978
4-苯基-3-硫代氨基脲||苯基三甲基溴化铵,22.4363
"5-氨基-1,10-菲咯啉||二甲氨基硫代乙酰胺盐酸盐",21.3907
"5-氨基-1,10-菲咯啉||噻吩-2-甲脒氢碘酸盐",22.9017
"5-氨基-1,10-菲咯啉||苯基三甲基溴化铵",21.5743
"5-氨基-1,10-菲咯啉||褪黑素",22.1267
Control||S-乙基异硫脲氢溴酸盐,23.4526
Control||二甲氨基硫代乙酰胺盐酸盐,21.0544
Control||对甲苯磺酸水合物,22.2232
Control||甘氨鹅脱氧胆酸钠,21.8128
Control||甲基丙烯酸二甲氨基乙酯,23.1219
Control||醋酸甲脒,22.5904
Control||香豆素,22.8187
L-高精氨酸盐酸盐||甘氨鹅脱氧胆酸钠,22.7951
N-碘代丁二酰亚胺||苯基三甲基溴化铵,21.9585
S-乙基异硫脲氢溴酸盐||二甲氨基硫代乙酰胺盐酸盐,21.5198
S-乙基异硫脲氢溴酸盐||对甲苯磺酸水合物,22.7911
S-乙基异硫脲氢溴酸盐||甘氨鹅脱氧胆酸钠,22.3127
S-乙基异硫脲氢溴酸盐||苯基三甲基溴化铵,23.2798
β-环糊精||甘氨鹅脱氧胆酸钠,22.026
β-环糊精||苯基三甲基溴化铵,21.7358
三氟甲磺酸钠||二甲氨基硫代乙酰胺盐酸盐,21.9591
三氟甲磺酸钠||甘氨鹅脱氧胆酸钠,21.8441
三氟甲磺酸钠||苯基三甲基溴化铵,22.872
二甲氨基硫代乙酰胺盐酸盐||二苯并呋喃,21.6426
