batch,count,best,top10,mean
1,160,0.8569830244540741,0.8431700726717262,0.5462860776650134
2,181,0.8917153155970462,0.87639228379172,0.6119600872379976
3,168,0.8726483576817481,0.8331723773827721,0.5552907781892202
4,193,0.9078224178776696,0.8902600855048173,0.6726576202325789
5,193,0.8889406923140453,0.872812632880348,0.6429285314669521
