add1,add2,score,mechs,rank
3-巯基苯甲酸,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",99
3-巯基苯甲酸,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",100
5-三(2-噻吩基)苯,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",101
3-巯基苯甲酸,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",102
二苯并呋喃,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",103
六氟磷酸钾,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",104
六氟磷酸钾,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",105
六氟磷酸钾,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",106
六氟磷酸钾,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",107
六氟磷酸钾,甲酰胺,0.7,"{'Lewis', 'Hbond'}",108
8-二碘二苯并噻吩,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",109
8-二碘二苯并噻吩,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",110
8-二碘二苯并噻吩,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",111
8-二碘二苯并噻吩,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",112
8-二碘二苯并噻吩,甲酰胺,0.7,"{'Lewis', 'Hbond'}",113
3-二氨基丙烷二氢溴酸盐,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",114
3-二氨基丙烷二氢溴酸盐,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",115
3-二氨基丙烷二氢溴酸盐,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",116
3-二氨基丙烷二氢溴酸盐,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",117
3-二氨基丙烷二氢溴酸盐,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",118
3-二氨基丙烷二氢溴酸盐,甲酰胺,0.7,"{'Lewis', 'Hbond'}",119
3-二氨基丙烷二氢溴酸盐,褪黑素,0.7,"{'Lewis', 'Hbond'}",120
L-高精氨酸盐酸盐,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",121
4-氨基四氢噻喃盐酸盐,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",122
二苯并呋喃,甲酰胺,0.7,"{'Lewis', 'Hbond'}",123
二苯并呋喃,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",124
3-巯基苯甲酸,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",125
二苯并呋喃,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",126
3-巯基苯甲酸,甲酰胺,0.7,"{'Lewis', 'Hbond'}",127
甘氨鹅脱氧胆酸钠,甲亢平,0.7,"{'Lewis', 'Hbond'}",128
3-巯基苯甲酸,褪黑素,0.7,"{'Lewis', 'Hbond'}",129
褪黑素,10-菲咯啉,0.7,"{'Lewis', 'Hbond'}",130
5-三(2-噻吩基)苯,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",131
5-三(2-噻吩基)苯,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",132
5-三(2-噻吩基)苯,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",133
5-三(2-噻吩基)苯,甲酰胺,0.7,"{'Lewis', 'Hbond'}",134
山梨酸钾,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",135
山梨酸钾,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",136
山梨酸钾,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",137
山梨酸钾,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",138
山梨酸钾,甲酰胺,0.7,"{'Lewis', 'Hbond'}",139
三氟甲磺酸钠,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",140
三氟甲磺酸钠,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",141
三氟甲磺酸钠,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",142
三氟甲磺酸钠,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",143
三氟甲磺酸钠,甲酰胺,0.7,"{'Lewis', 'Hbond'}",144
二苯并呋喃,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",145
褪黑素,盐酸盐,0.7,"{'Lewis', 'Hbond'}",146
褪黑素,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",147
11-马来酰胺基十一烷酸,噻吩-2-甲脒氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",148
甲酰胺,噻吩-2-甲脒氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",149
对苯二甲胺,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",150
对苯二甲胺,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",151
醋酸甲脒,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",152
醋酸甲脒,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",153
2-b]噻吩,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",154
醋酸甲脒,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",155
醋酸甲脒,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",156
醋酸甲脒,(4-溴苯基)-2-硫代脲,0.7,"{'Lewis', 'Hbond'}",157
甲酰胺,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",158
甲基丙烯酸二甲氨基乙酯,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",159
2-b]噻吩,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",160
2-乙酰基吡嗪,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",161
甲酰胺,4-氨基四氢噻喃盐酸盐,0.7,"{'Lewis', 'Hbond'}",162
2-乙酰基吡嗪,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",163
甲酰胺,L-高精氨酸盐酸盐,0.7,"{'Lewis', 'Hbond'}",164
4-苯基-3-硫代氨基脲,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",165
甲酰胺,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",166
甲酰胺,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",167
对苯二甲胺,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",168
(4-溴苯基)-2-硫代脲,4-氯吡啶-2-甲酰胺,0.7,"{'Lewis', 'Hbond'}",169
甲酰胺,2-b]噻吩,0.7,"{'Lewis', 'Hbond'}",170
(4-溴苯基)-2-硫代脲,4-氨基四氢噻喃盐酸盐,0.7,"{'Lewis', 'Hbond'}",171
4-氯吡啶-2-甲酰胺,2-乙酰基吡嗪,0.7,"{'Lewis', 'Hbond'}",172
4-氯吡啶-2-甲酰胺,2-b]噻吩,0.7,"{'Lewis', 'Hbond'}",173
4-氯吡啶-2-甲酰胺,对苯二甲胺,0.7,"{'Lewis', 'Hbond'}",174
4-氯吡啶-2-甲酰胺,甲基丙烯酸二甲氨基乙酯,0.7,"{'Lewis', 'Hbond'}",175
4-氯吡啶-2-甲酰胺,L-高精氨酸盐酸盐,0.7,"{'Lewis', 'Hbond'}",176
(4-溴苯基)-2-硫代脲,噻吩-2-甲脒氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",177
(4-溴苯基)-2-硫代脲,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",178
4-氯吡啶-2-甲酰胺,4-氨基四氢噻喃盐酸盐,0.7,"{'Lewis', 'Hbond'}",179
(4-溴苯基)-2-硫代脲,L-高精氨酸盐酸盐,0.7,"{'Lewis', 'Hbond'}",180
(4-溴苯基)-2-硫代脲,甲基丙烯酸二甲氨基乙酯,0.7,"{'Lewis', 'Hbond'}",181
4-氯吡啶-2-甲酰胺,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",182
(4-溴苯基)-2-硫代脲,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",183
(4-溴苯基)-2-硫代脲,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",184
(4-溴苯基)-2-硫代脲,2-乙酰基吡嗪,0.7,"{'Lewis', 'Hbond'}",185
4-氯吡啶-2-甲酰胺,噻吩-2-甲脒氢碘酸盐,0.7,"{'Lewis', 'Hbond'}",186
(4-溴苯基)-2-硫代脲,2-b]噻吩,0.7,"{'Lewis', 'Hbond'}",187
甲基丙烯酸二甲氨基乙酯,4-苯基-3-硫代氨基脲,0.7,"{'Lewis', 'Hbond'}",188
(4-溴苯基)-2-硫代脲,对苯二甲胺,0.7,"{'Lewis', 'Hbond'}",189
甲酰胺,2-乙酰基吡嗪,0.7,"{'Lewis', 'Hbond'}",190
甲酰胺,对苯二甲胺,0.7,"{'Lewis', 'Hbond'}",191
褪黑素,甲酰胺,0.7,"{'Lewis', 'Hbond'}",192
褪黑素,4-氨基四氢噻喃盐酸盐,0.7,"{'Lewis', 'Hbond'}",193
β-环糊精,甲酰胺,0.7,"{'Lewis', 'Hbond'}",194
盐酸盐,N-碘代丁二酰亚胺,0.7,"{'Lewis', 'Hbond'}",195
盐酸盐,11-马来酰胺基十一烷酸,0.7,"{'Lewis', 'Hbond'}",196
