add1,add2,score,mechs,rank
S-乙基异硫脲氢溴酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",307
S-乙基异硫脲氢溴酸盐,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",308
山梨酸钾,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",309
β-环糊精,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",310
山梨酸钾,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",311
甲亢平,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",312
三氟甲磺酸钠,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",313
β-环糊精,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",314
3-氨基-1-丙烷磺酸,噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Interface'}",315
2-(4-氟苯基)乙胺盐酸盐,对苯二甲胺,0.5,"{'Lewis', 'Dipole'}",316
盐酸盐,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",317
氨基甲烷磺酸,L-高精氨酸盐酸盐,0.5,"{'Lewis', 'Interface'}",318
氨基甲烷磺酸,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",319
8-辛二胺氢碘酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",320
盐酸盐,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",321
2-(4-氟苯基)乙胺盐酸盐,甲基丙烯酸二甲氨基乙酯,0.5,"{'Lewis', 'Dipole'}",322
氨基甲烷磺酸,2-乙酰基吡嗪,0.5,"{'Lewis', 'Interface'}",323
氨基甲烷磺酸,2-b]噻吩,0.5,"{'Lewis', 'Interface'}",324
甲亢平,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",325
氨基甲烷磺酸,对苯二甲胺,0.5,"{'Lewis', 'Interface'}",326
氨基甲烷磺酸,甲基丙烯酸二甲氨基乙酯,0.5,"{'Lewis', 'Interface'}",327
氨基甲烷磺酸,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",328
8-辛二胺氢碘酸盐,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",329
2-(4-氟苯基)乙胺盐酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",330
2-(4-氟苯基)乙胺盐酸盐,2-b]噻吩,0.5,"{'Lewis', 'Dipole'}",331
醋酸甲脒,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",332
香豆素,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",333
醋酸甲脒,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",334
三氟甲磺酸钠,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",335
8-辛二胺氢碘酸盐,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",336
醋酸甲脒,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",337
三氟甲磺酸钠,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",338
8-辛二胺氢碘酸盐,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",339
2-(4-氟苯基)乙胺盐酸盐,2-乙酰基吡嗪,0.5,"{'Lewis', 'Dipole'}",340
8-辛二胺氢碘酸盐,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",341
褪黑素,对甲苯磺酸水合物,0.5,"{'Interface', 'Hbond'}",342
盐酸盐,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",343
山梨酸钾,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",344
10-菲咯啉,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",345
3-巯基苯甲酸,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",346
5-三(2-噻吩基)苯,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",347
10-菲咯啉,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",348
甲亢平,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",349
盐酸盐,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",350
3-巯基苯甲酸,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",351
褪黑素,(2-苯乙基)磷酸,0.5,"{'Interface', 'Hbond'}",352
10-菲咯啉,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",353
5-三(2-噻吩基)苯,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",354
3-巯基苯甲酸,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",355
2-噻吩甲胺氢碘酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",356
哌嗪单盐酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",357
二甲氨基硫代乙酰胺盐酸盐,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",358
3-巯基苯甲酸,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",359
褪黑素,硫氰酸铅,0.5,"{'Dipole', 'Hbond'}",360
10-菲咯啉,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",361
2-噻吩甲胺氢碘酸盐,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",362
5-三(2-噻吩基)苯,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",363
甲亢平,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",364
10-菲咯啉,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",365
哌嗪单盐酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",366
10-菲咯啉,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",367
甲亢平,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",368
10-菲咯啉,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",369
二甲氨基硫代乙酰胺盐酸盐,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",370
5-三(2-噻吩基)苯,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",371
甲亢平,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",372
3-巯基苯甲酸,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",373
β-环糊精,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",374
β-环糊精,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",375
3-氨基-1-丙烷磺酸,4-氨基四氢噻喃盐酸盐,0.5,"{'Lewis', 'Interface'}",376
二甲氨基硫代乙酰胺盐酸盐,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",377
盐酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",378
3-巯基苯甲酸,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",379
3-氨基-1-丙烷磺酸,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",380
3-氨基-1-丙烷磺酸,L-高精氨酸盐酸盐,0.5,"{'Lewis', 'Interface'}",381
山梨酸钾,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",382
3-氨基-1-丙烷磺酸,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",383
3-巯基苯甲酸,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",384
2-噻吩甲胺氢碘酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",385
哌嗪单盐酸盐,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",386
3-氨基-1-丙烷磺酸,2-乙酰基吡嗪,0.5,"{'Lewis', 'Interface'}",387
3-氨基-1-丙烷磺酸,2-b]噻吩,0.5,"{'Lewis', 'Interface'}",388
哌嗪单盐酸盐,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",389
3-氨基-1-丙烷磺酸,对苯二甲胺,0.5,"{'Lewis', 'Interface'}",390
3-氨基-1-丙烷磺酸,甲基丙烯酸二甲氨基乙酯,0.5,"{'Lewis', 'Interface'}",391
3-氨基-1-丙烷磺酸,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",392
3-氨基-1-丙烷磺酸,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",393
3-氨基-1-丙烷磺酸,醋酸甲脒,0.5,"{'Lewis', 'Interface'}",394
二甲氨基硫代乙酰胺盐酸盐,四(五氟苯基)硼酸钾,0.5,"{'Lewis', 'Dipole'}",395
盐酸盐,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",396
氨基甲烷磺酸,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",397
二苯并呋喃,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",398
氨基甲烷磺酸,4-氨基四氢噻喃盐酸盐,0.5,"{'Lewis', 'Interface'}",399
盐酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",400
对苯二甲胺,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",401
"2,4-二氨基-6-氟嘧啶",硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",402
"2,4-二氨基-6-氟嘧啶",4-氨基四氢噻喃盐酸盐,0.5,"{'Lewis', 'Dipole'}",403
8-二碘二苯并噻吩,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",404
四(五氟苯基)硼酸钾,3-巯基苯甲酸,0.5,"{'Lewis', 'Dipole'}",405
"2,4-二氨基-6-氟嘧啶",L-高精氨酸盐酸盐,0.5,"{'Lewis', 'Dipole'}",406
8-二碘二苯并噻吩,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",407
"2,4-二氨基-6-氟嘧啶",2-乙酰基吡嗪,0.5,"{'Lewis', 'Dipole'}",408
L-高精氨酸盐酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",409
"2,4-二氨基-6-氟嘧啶",2-b]噻吩,0.5,"{'Lewis', 'Dipole'}",410
8-二碘二苯并噻吩,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",411
二甲氨基硫代乙酰胺盐酸盐,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",412
甘氨鹅脱氧胆酸钠,对甲苯磺酸水合物,0.5,"{'Interface', 'Hbond'}",413
L-高精氨酸盐酸盐,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",414
(2-苯乙基)磷酸,噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Interface'}",415
对苯二甲胺,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",416
8-二碘二苯并噻吩,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",417
对苯二甲胺,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",418
甘氨鹅脱氧胆酸钠,四(五氟苯基)硼酸钾,0.5,"{'Dipole', 'Hbond'}",419
"2,4-二氨基-6-氯嘧啶",硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",420
对苯二甲胺,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",421
S-乙基异硫脲氢溴酸盐,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",422
香豆素,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",423
甲基丙烯酸二甲氨基乙酯,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",424
2-氨基乙磺酸,4-氨基四氢噻喃盐酸盐,0.5,"{'Lewis', 'Interface'}",425
S-乙基异硫脲氢溴酸盐,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",426
苯基三甲基溴化铵,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",427
"2,4-二氨基-6-氟嘧啶",噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Dipole'}",428
(2-苯乙基)磷酸,N-碘代丁二酰亚胺,0.5,"{'Interface', 'Hbond'}",429
四(五氟苯基)硼酸钾,噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Dipole'}",430
苯基三甲基溴化铵,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",431
3-二氨基丙烷二氢溴酸盐,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",432
四(五氟苯基)硼酸钾,S-乙基异硫脲氢溴酸盐,0.5,"{'Lewis', 'Dipole'}",433
"2,4-二氨基-6-氯嘧啶",(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",434
二甲胺氢碘酸盐,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",435
3-二氨基丙烷二氢溴酸盐,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",436
3-二氨基丙烷二氢溴酸盐,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",437
四(五氟苯基)硼酸钾,"2,4-二氨基-6-氯嘧啶",0.5,"{'Lewis', 'Dipole'}",438
二甲胺氢碘酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",439
3-二氨基丙烷二氢溴酸盐,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",440
四(五氟苯基)硼酸钾,褪黑素,0.5,"{'Dipole', 'Hbond'}",441
"2,4-二氨基-6-氯嘧啶","2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",442
3-二氨基丙烷二氢溴酸盐,(2-苯乙基)磷酸,0.5,"{'Lewis', 'Interface'}",443
"2,4-二氨基-6-氯嘧啶",2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",444
2-b]噻吩,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",445
3-二氨基丙烷二氢溴酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",446
3-二氨基丙烷二氢溴酸盐,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",447
四(五氟苯基)硼酸钾,8-辛二胺氢碘酸盐,0.5,"{'Lewis', 'Dipole'}",448
(2-苯乙基)磷酸,L-高精氨酸盐酸盐,0.5,"{'Lewis', 'Interface'}",449
(2-苯乙基)磷酸,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",450
"2,4-二氨基-6-氯嘧啶",对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",451
2-乙酰基吡嗪,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",452
"2,4-二氨基-6-氯嘧啶",氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",453
(2-苯乙基)磷酸,4-氨基四氢噻喃盐酸盐,0.5,"{'Lewis', 'Interface'}",454
二甲胺氢碘酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",455
"2,4-二氨基-6-氯嘧啶",3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",456
四(五氟苯基)硼酸钾,醋酸甲脒,0.5,"{'Lewis', 'Dipole'}",457
苯基三甲基溴化铵,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",458
甲基丙烯酸二甲氨基乙酯,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",459
四(五氟苯基)硼酸钾,N-碘代丁二酰亚胺,0.5,"{'Dipole', 'Hbond'}",460
2-(4-氟苯基)乙胺盐酸盐,"2,4-二氨基-6-氯嘧啶",0.5,"{'Lewis', 'Dipole'}",461
2-(4-氟苯基)乙胺盐酸盐,8-二碘二苯并噻吩,0.5,"{'Lewis', 'Dipole'}",462
2-(4-氟苯基)乙胺盐酸盐,六氟磷酸钾,0.5,"{'Lewis', 'Dipole'}",463
硫氰酸铅,N-碘代丁二酰亚胺,0.5,"{'Dipole', 'Hbond'}",464
对甲苯磺酸水合物,对苯二甲胺,0.5,"{'Lewis', 'Interface'}",465
2-(4-氟苯基)乙胺盐酸盐,二苯并呋喃,0.5,"{'Lewis', 'Dipole'}",466
2-(4-氟苯基)乙胺盐酸盐,三氟甲磺酸钠,0.5,"{'Lewis', 'Dipole'}",467
2-(4-氟苯基)乙胺盐酸盐,山梨酸钾,0.5,"{'Lewis', 'Dipole'}",468
2-(4-氟苯基)乙胺盐酸盐,5-三(2-噻吩基)苯,0.5,"{'Lewis', 'Dipole'}",469
2-(4-氟苯基)乙胺盐酸盐,3-巯基苯甲酸,0.5,"{'Lewis', 'Dipole'}",470
2-(4-氟苯基)乙胺盐酸盐,8-辛二胺氢碘酸盐,0.5,"{'Lewis', 'Dipole'}",471
硫氰酸铅,噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Dipole'}",472
2-(4-氟苯基)乙胺盐酸盐,2-噻吩甲胺氢碘酸盐,0.5,"{'Lewis', 'Dipole'}",473
2-(4-氟苯基)乙胺盐酸盐,香豆素,0.5,"{'Lewis', 'Dipole'}",474
2-(4-氟苯基)乙胺盐酸盐,二甲胺氢碘酸盐,0.5,"{'Lewis', 'Dipole'}",475
甘氨鹅脱氧胆酸钠,(2-苯乙基)磷酸,0.5,"{'Interface', 'Hbond'}",476
四(五氟苯基)硼酸钾,10-菲咯啉,0.5,"{'Lewis', 'Dipole'}",477
2-(4-氟苯基)乙胺盐酸盐,S-乙基异硫脲氢溴酸盐,0.5,"{'Lewis', 'Dipole'}",478
2-(4-氟苯基)乙胺盐酸盐,盐酸盐,0.5,"{'Lewis', 'Dipole'}",479
二苯并呋喃,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",480
二甲氨基硫代乙酰胺盐酸盐,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",481
2-(4-氟苯基)乙胺盐酸盐,β-环糊精,0.5,"{'Lewis', 'Dipole'}",482
二苯并呋喃,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",483
2-(4-氟苯基)乙胺盐酸盐,哌嗪单盐酸盐,0.5,"{'Lewis', 'Dipole'}",484
2-(4-氟苯基)乙胺盐酸盐,10-菲咯啉,0.5,"{'Lewis', 'Dipole'}",485
二甲氨基硫代乙酰胺盐酸盐,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",486
2-(4-氟苯基)乙胺盐酸盐,醋酸甲脒,0.5,"{'Lewis', 'Dipole'}",487
二苯并呋喃,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",488
氨基甲烷磺酸,噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Interface'}",489
对甲苯磺酸水合物,L-高精氨酸盐酸盐,0.5,"{'Lewis', 'Interface'}",490
四(五氟苯基)硼酸钾,对苯二甲胺,0.5,"{'Lewis', 'Dipole'}",491
苯基三甲基溴化铵,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",492
四(五氟苯基)硼酸钾,4-氨基四氢噻喃盐酸盐,0.5,"{'Lewis', 'Dipole'}",493
甘氨鹅脱氧胆酸钠,硫氰酸铅,0.5,"{'Dipole', 'Hbond'}",494
2-氨基乙磺酸,噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Interface'}",495
四(五氟苯基)硼酸钾,盐酸盐,0.5,"{'Lewis', 'Dipole'}",496
六氟磷酸钾,氨基甲烷磺酸,0.5,"{'Lewis', 'Interface'}",497
六氟磷酸钾,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",498
S-乙基异硫脲氢溴酸盐,对甲苯磺酸水合物,0.5,"{'Lewis', 'Interface'}",499
四(五氟苯基)硼酸钾,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",500
四(五氟苯基)硼酸钾,L-高精氨酸盐酸盐,0.5,"{'Lewis', 'Dipole'}",501
四(五氟苯基)硼酸钾,3-二氨基丙烷二氢溴酸盐,0.5,"{'Lewis', 'Dipole'}",502
2-(4-氟苯基)乙胺盐酸盐,甲亢平,0.5,"{'Lewis', 'Dipole'}",503
二甲胺氢碘酸盐,3-氨基-1-丙烷磺酸,0.5,"{'Lewis', 'Interface'}",504
4-氨基四氢噻喃盐酸盐,硫氰酸铅,0.5,"{'Lewis', 'Dipole'}",505
2-(4-氟苯基)乙胺盐酸盐,苯基三甲基溴化铵,0.5,"{'Lewis', 'Dipole'}",506
六氟磷酸钾,"2,4-二氨基-6-氟嘧啶",0.5,"{'Lewis', 'Dipole'}",507
2-(4-氟苯基)乙胺盐酸盐,二甲氨基硫代乙酰胺盐酸盐,0.5,"{'Lewis', 'Dipole'}",508
2-(4-氟苯基)乙胺盐酸盐,四(五氟苯基)硼酸钾,0.5,"{'Lewis', 'Dipole'}",509
2-(4-氟苯基)乙胺盐酸盐,3-二氨基丙烷二氢溴酸盐,0.5,"{'Lewis', 'Dipole'}",510
对甲苯磺酸水合物,噻吩-2-甲脒氢碘酸盐,0.5,"{'Lewis', 'Interface'}",511
对甲苯磺酸水合物,N-碘代丁二酰亚胺,0.5,"{'Interface', 'Hbond'}",512
六氟磷酸钾,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",513
对甲苯磺酸水合物,4-氨基四氢噻喃盐酸盐,0.5,"{'Lewis', 'Interface'}",514
对甲苯磺酸水合物,2-氨基乙磺酸,0.5,"{'Lewis', 'Interface'}",515
盐酸盐,醋酸甲脒,0.35,{'Lewis'},516
盐酸盐,甲基丙烯酸二甲氨基乙酯,0.35,{'Lewis'},517
盐酸盐,2-乙酰基吡嗪,0.35,{'Lewis'},518
甲亢平,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},519
盐酸盐,2-b]噻吩,0.35,{'Lewis'},520
二甲胺氢碘酸盐,10-菲咯啉,0.35,{'Lewis'},521
二甲胺氢碘酸盐,醋酸甲脒,0.35,{'Lewis'},522
盐酸盐,对苯二甲胺,0.35,{'Lewis'},523
甲亢平,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},524
盐酸盐,L-高精氨酸盐酸盐,0.35,{'Lewis'},525
二甲胺氢碘酸盐,对苯二甲胺,0.35,{'Lewis'},526
苯基三甲基溴化铵,二甲氨基硫代乙酰胺盐酸盐,0.35,{'Lewis'},527
苯基三甲基溴化铵,8-辛二胺氢碘酸盐,0.35,{'Lewis'},528
苯基三甲基溴化铵,"2,4-二氨基-6-氯嘧啶",0.35,{'Lewis'},529
苯基三甲基溴化铵,S-乙基异硫脲氢溴酸盐,0.35,{'Lewis'},530
褪黑素,哌嗪单盐酸盐,0.35,{'Hbond'},531
褪黑素,β-环糊精,0.35,{'Hbond'},532
苯基三甲基溴化铵,褪黑素,0.35,{'Hbond'},533
S-乙基异硫脲氢溴酸盐,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},534
苯基三甲基溴化铵,盐酸盐,0.35,{'Lewis'},535
S-乙基异硫脲氢溴酸盐,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},536
S-乙基异硫脲氢溴酸盐,L-高精氨酸盐酸盐,0.35,{'Lewis'},537
S-乙基异硫脲氢溴酸盐,2-乙酰基吡嗪,0.35,{'Lewis'},538
S-乙基异硫脲氢溴酸盐,2-b]噻吩,0.35,{'Lewis'},539
S-乙基异硫脲氢溴酸盐,对苯二甲胺,0.35,{'Lewis'},540
S-乙基异硫脲氢溴酸盐,甲基丙烯酸二甲氨基乙酯,0.35,{'Lewis'},541
苯基三甲基溴化铵,10-菲咯啉,0.35,{'Lewis'},542
S-乙基异硫脲氢溴酸盐,醋酸甲脒,0.35,{'Lewis'},543
S-乙基异硫脲氢溴酸盐,10-菲咯啉,0.35,{'Lewis'},544
S-乙基异硫脲氢溴酸盐,哌嗪单盐酸盐,0.35,{'Lewis'},545
二甲胺氢碘酸盐,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},546
盐酸盐,10-菲咯啉,0.35,{'Lewis'},547
盐酸盐,哌嗪单盐酸盐,0.35,{'Lewis'},548
二甲胺氢碘酸盐,L-高精氨酸盐酸盐,0.35,{'Lewis'},549
盐酸盐,β-环糊精,0.35,{'Lewis'},550
褪黑素,N-碘代丁二酰亚胺,0.35,{'Hbond'},551
苯基三甲基溴化铵,3-二氨基丙烷二氢溴酸盐,0.35,{'Lewis'},552
二甲胺氢碘酸盐,N-碘代丁二酰亚胺,0.35,{'Hbond'},553
S-乙基异硫脲氢溴酸盐,β-环糊精,0.35,{'Lewis'},554
褪黑素,2-乙酰基吡嗪,0.35,{'Hbond'},555
褪黑素,2-b]噻吩,0.35,{'Hbond'},556
二甲胺氢碘酸盐,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},557
苯基三甲基溴化铵,3-巯基苯甲酸,0.35,{'Lewis'},558
苯基三甲基溴化铵,醋酸甲脒,0.35,{'Lewis'},559
S-乙基异硫脲氢溴酸盐,盐酸盐,0.35,{'Lewis'},560
褪黑素,甲基丙烯酸二甲氨基乙酯,0.35,{'Hbond'},561
甲亢平,六氟磷酸钾,0.35,{'Lewis'},562
盐酸盐,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},563
盐酸盐,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},564
对苯二甲胺,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},565
对苯二甲胺,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},566
对苯二甲胺,L-高精氨酸盐酸盐,0.35,{'Lewis'},567
甘氨鹅脱氧胆酸钠,甲基丙烯酸二甲氨基乙酯,0.35,{'Hbond'},568
对苯二甲胺,2-乙酰基吡嗪,0.35,{'Lewis'},569
对苯二甲胺,2-b]噻吩,0.35,{'Lewis'},570
甲基丙烯酸二甲氨基乙酯,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},571
甲基丙烯酸二甲氨基乙酯,N-碘代丁二酰亚胺,0.35,{'Hbond'},572
甲基丙烯酸二甲氨基乙酯,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},573
甲基丙烯酸二甲氨基乙酯,L-高精氨酸盐酸盐,0.35,{'Lewis'},574
甘氨鹅脱氧胆酸钠,2-b]噻吩,0.35,{'Hbond'},575
甲基丙烯酸二甲氨基乙酯,对苯二甲胺,0.35,{'Lewis'},576
甘氨鹅脱氧胆酸钠,2-乙酰基吡嗪,0.35,{'Hbond'},577
甘氨鹅脱氧胆酸钠,N-碘代丁二酰亚胺,0.35,{'Hbond'},578
醋酸甲脒,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},579
醋酸甲脒,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},580
醋酸甲脒,L-高精氨酸盐酸盐,0.35,{'Lewis'},581
醋酸甲脒,2-乙酰基吡嗪,0.35,{'Lewis'},582
醋酸甲脒,2-b]噻吩,0.35,{'Lewis'},583
醋酸甲脒,对苯二甲胺,0.35,{'Lewis'},584
醋酸甲脒,甲基丙烯酸二甲氨基乙酯,0.35,{'Lewis'},585
甘氨鹅脱氧胆酸钠,哌嗪单盐酸盐,0.35,{'Hbond'},586
2-b]噻吩,L-高精氨酸盐酸盐,0.35,{'Lewis'},587
2-b]噻吩,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},588
甘氨鹅脱氧胆酸钠,5-三(2-噻吩基)苯,0.35,{'Hbond'},589
4-氨基四氢噻喃盐酸盐,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},590
甘氨鹅脱氧胆酸钠,苯基三甲基溴化铵,0.35,{'Hbond'},591
L-高精氨酸盐酸盐,噻吩-2-甲脒氢碘酸盐,0.35,{'Lewis'},592
L-高精氨酸盐酸盐,4-氨基四氢噻喃盐酸盐,0.35,{'Lewis'},593
