,default,w+0.05_bulk,w-0.05_bulk,equal,lewis_heavy,hbond_heavy
default,1.0,1.0,0.9927187876325154,0.9368006179838191,0.9753387419027648,0.9554048955401282
w+0.05_bulk,1.0,1.0,0.9927187876325154,0.9368006179838191,0.9753387419027648,0.9554048955401282
w-0.05_bulk,0.9927187876325154,0.9927187876325154,1.0,0.9545878012114691,0.9775478279522705,0.9520955905799308
equal,0.9368006179838191,0.9368006179838191,0.9545878012114692,1.0,0.9223780498759983,0.8821924216885514
lewis_heavy,0.9753387419027649,0.9753387419027649,0.9775478279522706,0.9223780498759983,1.0,0.8896743002535028
hbond_heavy,0.9554048955401281,0.9554048955401281,0.9520955905799308,0.8821924216885513,0.8896743002535028,1.0
